2025/03/08 14:45:53 --- MTP Music Manager Started ---
2025/03/08 14:45:53 OS: darwin, Architecture: arm64
2025/03/08 14:45:53 Verbose logging: true
2025/03/08 14:45:53 [VERBOSE] (main.go:25) Starting MTP Music Manager
2025/03/08 14:45:53 [VERBOSE] (connect.go:15) Initializing device with timeout of 30s...
2025/03/08 14:45:53 [VERBOSE] (connect.go:28) Starting MTP device detection in background goroutine
2025/03/08 14:45:53 [VERBOSE] (connect.go:40) MTP device found successfully
2025/03/08 14:45:53 [VERBOSE] (connect.go:54) Device initialized successfully
2025/03/08 14:45:53 [VERBOSE] (storage.go:21) Fetching storages with timeout of 30s...
2025/03/08 14:45:53 [VERBOSE] (storage.go:48) Found 1 storage(s) on device
2025/03/08 14:45:53 [VERBOSE] (storage.go:61) Storage #1:  (ID: 131073)
2025/03/08 14:45:55 [INFO] (list.go:93) Searching for MP3 files...
2025/03/08 14:45:55 [INFO] (list.go:112) Searching storage #1:  (ID: 131073)
2025/03/08 14:45:55 [VERBOSE] (list.go:680) Examining file: /GARMIN (IsDir: true)
2025/03/08 14:45:55 [VERBOSE] (list.go:680) Examining file: /GARMIN/TLG (IsDir: true)
2025/03/08 14:45:55 [VERBOSE] (list.go:680) Examining file: /GARMIN/TLG/DAT (IsDir: true)
2025/03/08 14:45:55 [VERBOSE] (list.go:680) Examining file: /GARMIN/TLG/PER (IsDir: true)
2025/03/08 14:45:55 [VERBOSE] (list.go:680) Examining file: /GARMIN/TLG/PER/0E (IsDir: true)
2025/03/08 14:45:55 [VERBOSE] (list.go:680) Examining file: /GARMIN/TLG/PER/0E/00 (IsDir: true)
2025/03/08 14:45:55 [VERBOSE] (list.go:680) Examining file: /GARMIN/TLG/PER/0E/00/01 (IsDir: false)
2025/03/08 14:45:55 [VERBOSE] (list.go:680) Examining file: /GARMIN/TLG/TLG_KPI.bak (IsDir: false)
2025/03/08 14:45:55 [VERBOSE] (list.go:680) Examining file: /GARMIN/TLG/TLG_KPI.kpi (IsDir: false)
2025/03/08 14:45:55 [VERBOSE] (list.go:680) Examining file: /GARMIN/gmaptz.img (IsDir: false)
2025/03/08 14:45:55 [VERBOSE] (list.go:680) Examining file: /GARMIN/CustomMaps (IsDir: true)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/cpyright.txt (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Audio (IsDir: true)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Audio/Tones (IsDir: true)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Apps (IsDir: true)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Apps/TEMP (IsDir: true)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Apps/LOGS (IsDir: true)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Apps/DATA (IsDir: true)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Apps/DATA/AUXFILE (IsDir: true)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Apps/DATA/F3640230.IDX (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Apps/DATA/F3640230.DAT (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Apps/DATA/F3640230.IMT (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Apps/SETTINGS (IsDir: true)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Apps/SETTINGS/F3640429.SET (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Apps/SETTINGS/F3641113.SET (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Apps/MAIL (IsDir: true)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Apps/OUT.BIN (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/SQL (IsDir: true)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/SQL/temp (IsDir: true)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/EDM (IsDir: true)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/EDM/hash.bin (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/EDM/hashbin.bin (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/EDM/points.bin (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/EDM/collection_list.bin (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/EDM/lines.bin (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/EDM/transaction_id.bin (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/EDM/active.bin (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Settings (IsDir: true)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Settings/Settings.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports (IsDir: true)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/RunningRun.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/RunningTrackTrack_Run.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/RunningTrailTrail_Run.fit (IsDir: false)
